time_yr	Mantle_T	Surf_T	PO2	Patm
18436.24651750936	2441.0281993436297	2422.610163451861	3.046798102029625e-13	13508497.103446348
18449.95975583011	2440.8727242972786	2422.4455269338737	3.046798102029625e-13	13514530.25804476
18463.672994150864	2440.7173608374787	2422.2809742724817	3.046798102029625e-13	13520558.166879127
18506.320407020663	2440.2349000325935	2421.7697587715425	6.09359620405925e-13	13539271.1376065
18548.96781989046	2439.753511140135	2421.2593458985666	6.09359620405925e-13	13557933.467422465
18591.615232760258	2439.2731884434675	2420.7497278975416	6.09359620405925e-13	13576545.237197217
18600.252897779086	2439.176034806819	2420.6466076612564	6.09359620405925e-13	13580308.65353154
18603.50795773714	2439.139434229051	2420.607755687757	6.09359620405925e-13	13581726.340791827
18604.910260032648	2439.123668348834	2420.5910193992127	6.09359620405925e-13	13582336.999659214
18605.09429640366	2439.1215993397345	2420.5888230129976	6.09359620405925e-13	13582417.13770326
18605.1286892169	2439.1212108001714	2420.5929372899222	6.09359620405925e-13	13578783.543072268
18605.16308203014	2439.1208208359362	2420.600460115056	6.09359620405925e-13	13578798.694511632
18605.19747484338	2439.120430577531	2420.6086639007763	6.09359620405925e-13	13578813.857853146
18605.231867656617	2439.1200406121175	2420.616135149015	6.09359620405925e-13	13578829.009336915
18605.27575547165	2439.119543423745	2420.6245826534737	6.09359620405925e-13	13578848.326090002
18605.319643286686	2439.1190466378403	2420.6320271103677	6.09359620405925e-13	13578867.626552839
18605.36353110172	2439.1185501252844	2420.638783431176	6.09359620405925e-13	13578886.91594988
18605.407418916755	2439.118053837201	2420.644972055813	6.09359620405925e-13	13578906.19625876
18605.528964730773	2439.116680465678	2420.6593903797	6.09359620405925e-13	13578959.548629433
18605.65051054479	2439.1153084799075	2420.670324909068	6.09359620405925e-13	13579012.844881902
18605.77205635881	2439.1139376007013	2420.67848344583	6.09359620405925e-13	13579066.096309772
18606.084555700087	2439.110416667587	2420.690318724167	6.09359620405925e-13	13579202.859838445
18606.397055041365	2439.106898777528	2420.6946065525663	6.09359620405925e-13	13579339.499865847
18606.709554382644	2439.1033823679113	2420.6952967215616	6.09359620405925e-13	13579476.079604244
18607.022053723922	2439.099866768179	2420.694083337651	6.09359620405925e-13	13579612.626179744
18607.380586659463	2439.095833901452	2420.6913303949377	6.09359620405925e-13	13579769.262031222
18607.739119595008	2439.091801434133	2420.6877571167297	6.09359620405925e-13	13579925.881197905
18608.097652530552	2439.0877691974506	2420.683790291769	6.09359620405925e-13	13580082.49050724
18608.836646350566	2439.079458623625	2420.6751641511273	6.09359620405925e-13	13580405.264905551
18609.575640170584	2439.071148422877	2420.6664061768306	6.09359620405925e-13	13580728.021966247
18611.98790277753	2439.0440249084186	2420.637680690262	6.09359620405925e-13	13581781.441478318
18614.40016538448	2439.0169047351637	2420.6089395925665	6.09359620405925e-13	13582834.701953318
18620.58003911179	2438.9474405227247	2420.5353205789693	6.09359620405925e-13	13585532.33899438
18626.759912839098	2438.8779977015733	2420.461717145752	6.09359620405925e-13	13588228.95385026
18632.93978656641	2438.8085768537767	2420.3881310722873	6.09359620405925e-13	13590924.521897731
18648.131707568158	2438.6380139307307	2420.2073042901243	6.09359620405925e-13	13597546.546866398
18663.32362856991	2438.467585357685	2420.0265779603656	6.09359620405925e-13	13604162.17127002
18678.515549571657	2438.2972908088714	2419.845951606384	6.09359620405925e-13	13610771.401741676
18693.70747057341	2438.127129703822	2419.6654246542953	6.09359620405925e-13	13617374.255505146
18733.96075966423	2437.6769056548947	2419.187569290908	6.09359620405925e-13	13634838.701765666
18774.214048755057	2437.2276115554528	2418.7104022504564	6.09359620405925e-13	13652258.492050545
18790.472878641664	2437.046398430882	2418.5178619740655	6.09359620405925e-13	13659281.926182393
18806.731708528267	2436.8653361040615	2418.325432677951	6.09359620405925e-13	13666298.08446281
18807.442512461155	2436.8574238529854	2418.317022575746	6.09359620405925e-13	13666604.651095204
18807.797382276985	2436.8534737585182	2418.312823900002	6.09359620405925e-13	13666757.699702486
18807.996035160693	2436.851262562964	2418.3104735425595	6.09359620405925e-13	13666843.373404717
18808.03204278954	2436.8508597892956	2418.314776567879	6.09359620405925e-13	13663454.565361137
18808.068050418384	2436.8504555245845	2418.3226334984447	6.09359620405925e-13	13663470.278913103
18808.10405804723	2436.850050958031	2418.331186427096	6.09359620405925e-13	13663486.004688786
18808.140065676074	2436.849646706142	2418.3389570151767	6.09359620405925e-13	13663501.71771643
18808.185446968047	2436.8491376793386	2418.3476085558073	6.09359620405925e-13	13663521.502522372
18808.230828260024	2436.8486290708543	2418.3552231493168	6.09359620405925e-13	13663541.270379154
